ROUGE-1,ROUGE-2,ROUGE-SU4
0.88889,0.625,0.73684
0.66667,0.25,0.28947
0.66667,0.25,0.23684
0.375,0.28571,0.15625
0.375,0.14286,0.15625
0.14286,0.0,0.03846
0.0,0.0,0.0
0.5,0.14286,0.125
0.25,0.14286,0.09375
0.14286,0.0,0.03846
0.375,0.14286,0.15789
0.125,0.0,0.02632
0.33333,0.14286,0.10526
0.25,0.14286,0.09375
0.25,0.14286,0.09375
0.14286,0.0,0.03846
0.0,0.0,0.0
0.85714,0.33333,0.30769
0.375,0.0,0.125
0.28571,0.0,0.0625
0.0,0.0,0.0
0.0,0.0,0.0
0.28571,0.0,0.11538
0.28571,0.0,0.11538
0.28571,0.16667,0.07692
0.125,0.0,0.03125
0.0,0.0,0.0
0.28571,0.0,0.03846
0.0,0.0,0.0
0.28571,0.16667,0.09375
0.14286,0.0,0.03125
0.14286,0.0,0.03125
0.14286,0.0,0.0
0.14286,0.0,0.03125
0.25,0.0,0.03846
0.125,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.125,0.0,0.03125
0.75,0.28571,0.4375
0.44444,0.125,0.10526
0.44444,0.125,0.10526
0.28571,0.0,0.03125
0.375,0.14286,0.125
0.5,0.28571,0.28125
0.14286,0.0,0.03125
0.55556,0.125,0.18421
0.0,0.0,0.0
0.14286,0.0,0.03846
0.25,0.0,0.0625
0.14286,0.0,0.03846
0.0,0.0,0.0
0.375,0.0,0.09375
0.125,0.0,0.0
0.25,0.0,0.0625
0.71429,0.33333,0.34615
0.75,0.25,0.25
0.22222,0.0,0.02632
0.55556,0.14286,0.23684
0.375,0.25,0.1875
0.14286,0.0,0.03846
0.14286,0.0,0.03846
0.42857,0.16667,0.19231
0.11111,0.0,0.0
0.25,0.14286,0.09375
0.25,0.14286,0.09375
0.14286,0.0,0.03846
0.375,0.16667,0.125
0.0,0.0,0.0
0.125,0.0,0.03125
0.33333,0.16667,0.11538
0.28571,0.0,0.03846
0.375,0.14286,0.15625
0.33333,0.16667,0.11538
0.0,0.0,0.0
0.875,0.57143,0.65625
0.375,0.14286,0.125
0.125,0.0,0.03125
0.375,0.14286,0.15625
0.625,0.42857,0.375
0.0,0.0,0.0
0.25,0.0,0.03125
0.375,0.14286,0.125
0.25,0.14286,0.09375
0.0,0.0,0.0
0.125,0.0,0.03125
0.25,0.14286,0.09375
0.42857,0.16667,0.15385
0.0,0.0,0.0
0.28571,0.16667,0.11538
0.25,0.14286,0.0625
0.0,0.0,0.0
0.25,0.14286,0.09375
0.14286,0.0,0.03846
0.0,0.0,0.0
0.42857,0.16667,0.15385
0.28571,0.0,0.07692
0.28571,0.16667,0.11538
0.14286,0.0,0.03846
0.25,0.0,0.0625
0.14286,0.0,0.03846
0.28571,0.0,0.07692
0.14286,0.0,0.03846
0.25,0.14286,0.0625
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.875,0.42857,0.5
0.5,0.0,0.09375
0.14286,0.0,0.03846
0.625,0.42857,0.4375
0.28571,0.0,0.11538
0.28571,0.0,0.03846
0.14286,0.0,0.03125
0.0,0.0,0.0
0.14286,0.0,0.0
0.71429,0.33333,0.34615
0.0,0.0,0.0
0.28571,0.0,0.07692
0.28571,0.16667,0.11538
0.14286,0.0,0.03846
0.14286,0.0,0.03846
0.0,0.0,0.0
0.28571,0.0,0.03846
0.28571,0.0,0.07692
0.28571,0.0,0.11538
0.14286,0.0,0.03846
0.14286,0.0,0.03846
0.0,0.0,0.0
0.14286,0.0,0.0
0.28571,0.0,0.07692
0.25,0.0,0.09375
0.0,0.0,0.0
0.28571,0.0,0.09375
0.25,0.0,0.0625
0.42857,0.0,0.07692
0.14286,0.0,0.03846
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.14286,0.0,0.03846
0.0,0.0,0.0
0.14286,0.0,0.03846
0.28571,0.0,0.11538
0.0,0.0,0.0
0.42857,0.16667,0.15385
0.66667,0.25,0.34211
0.22222,0.0,0.05263
0.5,0.0,0.25
0.0,0.0,0.0
0.0,0.0,0.0
0.44444,0.125,0.13158
0.16667,0.0,0.05
0.33333,0.125,0.10526
0.33333,0.0,0.05263
0.0,0.0,0.0
